id;% ??;PREZZO LISTINO 2008;PREZZO LISTINO 2009;LISTINO 2010;% ??;LISTINO 2011;% ??;LISTINO 2012;IMMAGINE;TIPO MATERIALE O TESSUTO;BARCODE;NS. ART.;DESCRIZIONE;CODICE FORNITORE;DESCRIZIONE IN INGLESE;COLOUR ;FABRIC - GLASS;DIMENSIONI ARTICOLO Cm.;VOLUME IMBALLO m³;PZ. IMB.;DIMENSIONI IMBALLO Cm.;COSTO FOB 2012 USD;COSTO FOB 2012 EUR; CALCOLO 30 CBM ; CALCOLO 68 CBM ;Q.tà per container;;Trasp.;DAZI USD;PREZZO LISTINO 2011 DA ARROT.;COSTO EUR TRASPORTO COMPRESO 2011;PESO ART. Kg.;PESO IMBALLO Kg.;FORNITORE;COSTO FOB 2008 USD;COSTO FOB 2009 USD;COSTO FOB 2009 EUR;COSTO FOB 2010 USD;COSTO FOB 2010 EUR;a;b;c
269;7,02;0;488,7;492,1;-5,91;523;9,94;475,7;;TECNORATTAN;;47574;SOFA' SYMI COLOR GOLD/BROWN;CF56-8032;Footstool with cushion;N1233;PILLOW REGULAR FABRIC 801 WITH ZIPPER WITH BROWN FINISHING;710x600x420;0,199;1;73x62x44;113;81,88;;342;357;;16,81;;475,69;98,69;7,35;9,8;YATAI;;;85;120;85,71;;;MOBILI PER SEDERSI IMBOTTITI
270;0,89;0;291,4;291,4;-0,88;294;1,24;290,4;;TECNORATTAN;;47578;TAVOLINO TONDO SYMI COLOR GOLD/BROWN DIAM.  CM. 54X55H;CF02X-8131;Round tea table with tempered clear glass;N1233;CLEAR TEMPERED GLASS;diam. 540x550;0,185;1;43x43x4 56x56x57 articolo composto da 2 colli;58;44,55;;368;382;;15,71;3,48;290,44;60,26;5,5;8,05;YATAI;;;45;56;42,49;;;TAVOLO VETRO
271;2,08;0;609,4;609,4;-2,04;622,1;3,32;602,1;;TECNORATTAN;;47581;TAVOLINO OVALE SYMI COLOR GOLD/BROWN CM. 120X75X48H;CF02X-8121;Ellipse tea table with tempered clear glass;N1233;CLEAR TEMPERED GLASS;120x75x48;0,496;1;105x63,5x4 122x77x50 articolo composto da 2 colli;108;82,96;;137;143;;41,96;6,48;602,09;124,91;14,6;19;YATAI;;110;;105;79,63;;;TAVOLO VETRO
272;11,74;0;238,6;238,6;-10,5;266,6;7,24;248,6;;TECNORATTAN;;47585;TAVOLINO TONDO SYMI COLOR GOLD BROWN DIAM.  CM. 55X51,5H;CF55-8151;Round tea table;N1233;"DARK TEMPERED GLASS; WITH STAINLESS STEEL BASE";diam. 550x515;0,174;1;57x57x53,5 articolo composto da due colli;48;36,87;;391;408;;14,71;2,88;248,59;51,58;5;7,5;YATAI;;46,75;;50;37,77;;;TAVOLO VETRO
273;7,18;0;2681;2681;-6,7;2873,6;21,87;2357,9;;TECNORATTAN;;47560;CARAVELLA SYMI COLOR GOLD/BROWN;CF57-8518;with cushion and with stainless steel base;N1233;" PILLOW FABRIC 801 WITH ZIPPER; WITH STAINLESS STEEL BASE";2320x900x1750;2,396;1;234x12x11 0 234x92x97 articolo composto da 2 colli;408;295,65;;28;31;;193,55;;2357,95;489,2;36;41,2;YATAI;;;365;500;357,14;;;MOBILI PER SEDERSI IMBOTTITI
274;7,18;0;2681;2681;-6,7;2873,6;21,87;2357,9;;TECNORATTAN;;47561;CARAVELLA SYMI COLOR TITANIUM/SILVER;CF57-8518;with cushion and with stainless steel base;N1157;" PILLOW FABRIC 801 WITH ZIPPER; WITH STAINLESS STEEL BASE";2320x900x1750;2,396;1;234x12x11 0 234x92x97 articolo composto da 2 colli;408;295,65;;28;31;;193,55;;2357,95;489,2;36;41,2;YATAI;;;365;500;357,14;;;MOBILI PER SEDERSI IMBOTTITI
275;;;;1038,9;;1113,1;3,8;1072,3;;;;52310;POLTRONA LUXOR COLOR MADREPERLA ;CF51X-B9001;Single sofa;REHAU SATIN WHITE;"PILLOW WITH ZIPPER. FABRIC COLOR: 801 STAINLESS STEEL FEET AND HARDWARE; ";980*780*705;0,58;1;100x80x72,5;238;172,46;;117;120;;50;;1.072,28;222,46;15;18;YATAI;;;;233;166,43;;;MOBILI PER SEDERSI IMBOTTITI
276;;;;1477,7;;1588,8;6,18;1496,3;;;;52320;DIVANO 2 POSTI LUXOR COLOR MADREPERLA;CF51X-B9011;Two seater sofa;REHAU SATIN WHITE;"PILLOW WITH ZIPPER. FABRIC COLOR: 801 STAINLESS STEEL FEET AND HARDWARE; ";1550x780x705;0,848;1;1570x79,5x68;318;230,43;;80;75;;80;;1.496,30;310,43;22,5;28;YATAI;;;;319;227,86;;;MOBILI PER SEDERSI IMBOTTITI
277;;;;2007,6;;2162,7;8,02;2002,2;;;;52330;DIVANO 3 POSTI LUXOR COLOR MADREPERLA;CF51X-B9021;Three seaters sofa;REHAU SATIN WHITE;PILLOW WITH ZIPPER. FABRIC COLOR: 801 STAINLESS STEEL FEET AND HARDWARE ;2110*780*705;1,151;1;2130*79,5*68;414;300;;59;52;;115,38;;2.002,15;415,38;27,7;34,8;YATAI;;;;424;302,86;;;MOBILI PER SEDERSI IMBOTTITI
278;;;;445,7;;492,3;-2,98;507,4;;;;52280;TAVOLINO QUADRO LUXOR COLOR MADREPERLA CM 87X87X32 H;CF50X-C9111;Tea table;REHAU SATIN WHITE;"TEMPERED GLASS; STAINLESS STEEL FEET AND HARDWARE";870*870*320;0,334;1;89x89x34 80x80x6 articolo composto da 2 colli;98;75,28;;204;200;;30;5,88;507,43;105,28;25,5;33;YATAI;;;;88;67,06;;;TAVOLO VETRO
279;;;;246,2;;269,7;-9,65;298,5;;;;52290;TAVOLINO QUADRO ALTO LUXOR COLOR MADREPERLA CM 50X50X45 H ;CF50X-C9113;Side Tea table;REHAU SATIN WHITE;"TEMPERED GLASS; STAINLESS STEEL FEET AND HARDWARE";500*500*450;0,137;1;42x42x6 52x52x47 articolo composto da 2 colli;65;49,93;;496;500;;12;3,9;298,49;61,93;8,8;11,6;YATAI;;;;55;42,07;;;TAVOLO VETRO
280;;;;1174;;1283,8;-4,83;1348,9;;;;52270;TAVOLO RETTANGOLARE LUXOR COLOR MADREPERLA CM 220X110X74 H;CF50X-C9329;Dining Table;REHAU SATIN WHITE;"TEMPERED GLASS; STAINLESS STEEL FEET AND HARDWARE";2200*1100*740;0,397;1;222x112x16;297;228,13;;171;116;;51,72;17,82;1.348,90;279,85;35;41;YATAI;;;;270;205,59;;;TAVOLO VETRO
281;;;;556,5;;607,8;-6,22;648,1;;;;52250;TAVOLO QUADRO LUXOR COLOR MADREPELA CM 90X90X74 H;CF50X-C9331;Square Dining Table;REHAU SATIN WHITE;"TEMPERED GLASS; STAINLESS STEEL FEET AND HARDWARE";900*900*740;0,135;1;92x92x16;145;111,38;;504;260;;23,08;8,7;648,07;134,45;20;23;YATAI;;;;130;99,07;;;TAVOLO VETRO
282;;;;2129,2;;2318,6;2,48;2262,5;;;;52340;DIVANO PRIVE' 2 POSTI LUXOR COLOR MADREPERLA ;CF51X-B9012;Two seaters high back sofa;REHAU SATIN WHITE;"PILLOW WITH ZIPPER. FABRIC COLOR: 801; STAINLESS STEEL FEET AND HARDWARE";1650*850*1200;1,772;1;167*87*122;400;307,25;;38;37;;162,16;24;2.262,55;469,41;28,5;36,8;YATAI;;;;394;298,57;;;MOBILI PER SEDERSI IMBOTTITI
283;;;;306,5;;327,8;6,5;307,8;;;;52200; SEDIA LUXOR COLOR MADREPERLA ;CF51X-B9311;Dining chair with cushion;REHAU SATIN WHITE;CUSHION WITH ZIPPER. FABRIC COLOR: 801 STAINLESS STEEL FEET AND HARDWARE;560*560*820;0,307;2;91*72*47;69;50;;443;433;;13,86;;307,79;63,86;8,8;12,7;YATAI;;;;70;50;;;MOBILI PER SEDERSI IMBOTTITI
284;;;;416,9;;449,2;9,8;409,1;;;;52220;SEDIA CON BRACCIOLI LUXOR COLOR MADREPERLA ;CF51X-B9301;Armrest Dining Chair with cushion;REHAU SATIN WHITE;CUSHION WITH ZIPPER. FABRIC COLOR: 801 STAINLESS STEEL FEET AND HARDWARE;560*560*820;0,51;2;134*66*58;84;60,87;;267;250;;24;;409,07;84,87;12,2;16,1;YATAI;;;;88;62,86;;;MOBILI PER SEDERSI IMBOTTITI
285;;;;382,2;;410,7;4,93;391,4;;;;52450;SGABELLO BAR LUXOR COLOR MADREPERLA;CF51X-B9411;Bar chair with cushion;REHAU SATIN WHITE;CUSHION WITH ZIPPER. FABRIC COLOR: 801 STAINLESS STEEL FEET AND HARDWARE;490*400*985;0,215;1;51*42*100,5;84;60,87;;316;295;;20,34;;391,43;81,21;6;8;YATAI;;;;83;59,29;;;MOBILI PER SEDERSI IMBOTTITI
286;;;;408,6;;440;-15,63;521,5;;;;52460;TAVOLO QUADRO BAR LUXOR COLOR MADREPERLA CM 60X60X106 H;CF51X-B9431;Bar Table;REHAU SATIN WHITE;STAINLESS STEEL FEET AND HARDWARE;600*600*1060;0,04;1;62x62x0,8 1,05x82x82 articolo composto da 2 colli;140;104,49;;1.700;1625;;3,69;4,2;521,45;108,19;25;26;YATAI;;;;114;84,43;;;TAVOLO VETRO
287;;;;4737,7;;5104;10,59;4615,2;;;;52500;PIRAMIDE LUXOR COLOR MADREPERLA ;CF69-B9631;Pyramid ;REHAU SATIN WHITE;PILLOW WITH ZIPPER AND CURTAINS: FABRIC COLOR: 801 CUSHION WITH ZIPPER: 60X60. FABRIC COLOR : 801 STAINLESS STEEL HARDWARE;2220*2220*2385;2,85;1;150x100x55 225x225x40 articolo composto da 3 colli;945;684,78;;24;22;;272,73;;4.615,20;957,51;80;96;YATAI;;;;1000;714,29;;;MOBILI PER SEDERSI IMBOTTITI
288;;;;715,8;;780,1;7,56;725,3;;;;52240;PANCHINA LUXOR COLOR MADREPERLA;CF51X-B9313;Long dining Chair with cushion;REHAU SATIN WHITE;CUSHION WITH ZIPPER. FABRIC COLOR: 801 STAINLESS STEEL FEET AND HARDWARE;1150*580*820;0,589;1;117x60x84;131;94,93;;115;108;;55,56;;725,33;150,48;9,4;13;YATAI;;;;131;93,57;;;MOBILI PER SEDERSI IMBOTTITI
289;;;;881,8;;950;10,94;856,3;;;;47586;POLTRONA ANGOLARE DX SYMI COLOR GOLD/BROWN;CF56-8051;Right Corner sofa;N1233;PILLOW WITH ZIPPER. FABRIC COLOR: 801 WITH BROWN FINISHING;780*900*720;0,544;1;80x92x74;175;126,81;;125;118;;50,85;;856,32;177,66;14;18;YATAI;;;;186;132,86;;;MOBILI PER SEDERSI IMBOTTITI
290;;;;881,8;;950;10,94;856,3;;;;47589;POLTRONA ANGOLARE SX SYMI COLOR GOLD/BROWN;CF56-8041;Left Corner sofa;N1233;PILLOW WITH ZIPPER. FABRIC COLOR: 801 WITH BROWN FINISHING;780*900*720;0,544;1;80x92x74;175;126,81;;125;118;;50,85;;856,32;177,66;14;18;YATAI;;;;186;132,86;;;MOBILI PER SEDERSI IMBOTTITI
291;;;;1033,9;;1113,1;12,06;993,3;;;;47592;POLTRONA ANGOLARE CX SYMI COLOR GOLD/BROWN;CF56-8061;Corner sofa;N1233;PILLOW WITH ZIPPER. FABRIC COLOR: 801 WITH BROWN FINISHING;900*900*720;0,625;1;92x92x74;204;147,83;;109;103;;58,25;;993,3;206,08;17;22;YATAI;;;;220;157,14;;;MOBILI PER SEDERSI IMBOTTITI
292;;;;721,1;;777;11,51;696,8;;;;47595;POLTRONA DIRITTA SYMI COLOR GOLD/BROWN;CF56-8071;Armless sofa;N1233;PILLOW WITH ZIPPER. FABRIC COLOR: 801 WITH BROWN FINISHING;650*900*720;0,456;1;67x92x74;142;102,9;;149;144;;41,67;;696,8;144,57;12;15;YATAI;;;;152;108,57;;;MOBILI PER SEDERSI IMBOTTITI
293;;;;644,6;;703,2;19,05;590,7;;;;47598;SOFA' /TAVOLINO SIMY COLOR GOLD/BROWN CM. 90X90X30 H ;CF56-8112;Tea table including cushion and tempered glass;N1233;PILLOW WITH ZIPPER. FABRIC COLOR: 801 WITH BROWN FINISHING;900x900x300;0,355;1;92x92x42;127;97,55;;192;240;;25;7,62;590,69;122,55;;;YATAI;;;;153;114,73;;;
294;;;;;;438,4;2,21;428,9;;;;52550;SEDIA NUVOLA CON CUSCINO COLOR MADREPERLA;CF66-9313;ArmlessDining Chair;REHAU SATIN WHITE;dark cushion as attached picture;545*580*780;0,691;4;1220*900*630;99;71,74;;394;348;;17,24;;428,89;88,98;6;27;YATAI;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
295;;;;;;438,4;2,21;428,9;;;;52551;SEDIA NUVOLA CON CUSCINO COLOR NERO;;;B1568BJ;;545*580*780;0,691;4;1220*900*630;99;71,74;;394;348;;17,24;;428,89;88,98;6;27;YATAI;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
296;;;;;;455,4;1,88;447;;;;52560;SEDIA CON BRACCIOLI NUVOLA CON CUSCINO COLOR MADREPERLA;CF66-9301;Armrest Dining Chair;REHAU SATIN WHITE;;580*540*795;0,403;2;1200*600*560;100;72,46;;337;296;;20,27;;446,98;92,73;6;27;YATAI;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
297;;;;;;455,4;1,88;447;;;;52561;SEDIA CON BRACCIOLI NUVOLA CON CUSCINO COLOR NERO;;;B1568BJ;;580*540*795;0,403;2;1200*600*560;100;72,46;;337;296;;20,27;;446,98;92,73;6;27;YATAI;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
298;;;;;;1063,9;-19,22;1317;;;;52580;TAVOLO TONDO NUVOLA COLOR MADREPERLA CM 115X101X71 H;CF66-9341;Round Dining Table;REHAU SATIN WHITE;including 15MM dark glass as picture;1150*1010*710;0,42;1 PEZZO 2 SCATIOLE;"700*700*740
1220*1220*40";297;228,13;;162;133;;45,11;17,82;1.317,03;273,24;53;59;YATAI;;;;;12,73;;;TAVOLO VETRO
299;;;;;;1063,9;-19,22;1317;;;;52581;TAVOLO TONDO NUVOLA COLOR NERO CM 115X101X71 H;;;B1568BJ;;1150*1010*710;0,42;1 PEZZO 2 SCATIOLE;"700*700*740
1220*1220*40";297;228,13;;162;133;;45,11;17,82;1.317,03;273,24;53;59;YATAI;;;;;12,73;;;TAVOLO VETRO
300;;;;;;2101,9;-7,73;2278;;;;52590;TAVOLO OVALE NUVOLA COLOR MADREPERLA CM 178X107X71 H;CF66-9346;ellipseDining Table;REHAU SATIN WHITE;;180x109x73 180x107x4;1,507;1 PEZZO 2 SCATIOLE;"1800*1090*730 
1800x1070x100";420;322,61;;45;40;;150;25,2;2.277,97;472,61;64;69;YATAI;;;;;18;;;TAVOLO VETRO
301;;;;;;2101,9;-7,73;2278;;;;52591;TAVOLO OVALE NUVOLA COLOR NERO CM 178X107X71 H;;;B1568BJ;;180x109x73 180x107x4;1,507;1 PEZZO 2 SCATIOLE;"1800*1090*730 
1800x1070x100";420;322,61;;45;40;;150;25,2;2.277,97;472,61;64;69;YATAI;;;;;18;;;TAVOLO VETRO
302;;;;;;1405,8;1,9;1379,6;;;;52570;LETTINO NUVOLA COLOR MADREPERLA;CF66-9541;Lounge;REHAU SATIN WHITE; dark cushion and pillow as picture ; 2100*900*490;0,994;1;2120*920*510;257;186,23;;68;60;;100;;1.379,64;286,23;16;21;YATAI;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
303;;;;;;1405,8;1,9;1379,6;;;;52571;LETTINO NUVOLA COLOR NERO;;;B1568BJ;; 2100*900*490;0,994;1;2120*920*510;257;186,23;;68;60;;100;;1.379,64;286,23;16;21;YATAI;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
304;;;;;;2788,8;6,3;2623,4;;;;52600;DIVANO SX NUVOLA COLOR MADREPERLA;CF66-9566;Chaise;REHAU SATIN WHITE;seat cushion: black back cushion: 2 grey /1 black 3 pillows: 1 grey - 1 black - 1 white;1740*1220*840;1,973;1;1760*1280*860;484;350,72;;34;31;;193,55;;2.623,40;544,27;28;31;YATAI;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
305;;;;;;2788,8;6,3;2623,4;;;;52601;DIVANO SX NUVOLA COLOR NERO;;;B1568BJ;;1740*1220*840;1,973;1;1760*1280*860;484;350,72;;34;31;;193,55;;2.623,40;544,27;28;31;YATAI;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
306;;;;;;2788,8;6,3;2623,4;;;;52610;DIVANO DX NUVOLA COLOR MADREPERLA;CF66-9567;Chaise;REHAU SATIN WHITE;;1740*1220*840;1,973;1;1760*1280*860;484;350,72;;34;31;;193,55;;2.623,40;544,27;28;31;YATAI;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
307;;;;;;2788,8;6,3;2623,4;;;;52611;DIVANO DX NUVOLA COLOR NERO;;;B1568BJ;;1740*1220*840;1,973;1;1760*1280*860;484;350,72;;34;31;;193,55;;2.623,40;544,27;28;31;YATAI;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
308;;;;;;591;-0,51;594;;;;52620;TAVOLINO OVALE NUVOLA COLOR MADREPERLA CM 109X79X35 H;CF66-9121;ellipseTable;REHAU SATIN WHITE;dark glass;1095*790*350;0,3;1 PEZZO 2 SCATOLE;880*595*40 1105*810*370;121;92,94;;227;198;;30,3;7,26;594,04;123,25;13;18;YATAI;;;;;5,19;;;TAVOLO VETRO
309;;;;;;591;-0,51;594;;;;52621;TAVOLINO OVALE NUVOLA COLOR NERO CM 109X79X35 H;;;B1568BJ;;1095*790*350;0,3;1 PEZZO 2 SCATOLE;880*595*40 1105*810*370;121;92,94;;227;198;;30,3;7,26;594,04;123,25;13;18;YATAI;;;;;5,19;;;TAVOLO VETRO
310;;;;;;245,7;-2,96;253,2;;;;52630;TAVOLINO TONDO NUVOLA COLOR MADREPERLA CM 49X45X49 H;CF66-9141;Tea Table;REHAU SATIN WHITE;dark glass;490*450*490;0,118;1 PEZZO 2 SCATOLE;"360*360*40
470*510*470";53;40,71;;576;508;;11,81;3,18;253,15;52,52;4;6;YATAI;;;;;2,27;;;TAVOLO VETRO
311;;;;;;245,7;-2,96;253,2;;;;52631;TAVOLINO TONDO NUVOLA COLOR NERO CM 46X45X49 H;;;B1568BJ;;490*450*490;0,118;1 PEZZO 2 SCATOLE;"360*360*40
470*510*470";53;40,71;;576;508;;11,81;3,18;253,15;52,52;4;6;YATAI;;;;;2,27;;;TAVOLO VETRO
312;;;;;;534,6;-20,89;675,8;;;;52640;VELA;CF66-9661;Screen - Aluminium frame, SS base, ;Sunproof fabric 100% olefin with zipper;;;0,2;1 pezzo 2 imballi;;151;122,55;;340;340;;17,65;18,12;675,75;140,2;18;19;YATAI;;;;;12,94;;;GAZEBO
313;;;;;;2232,6;-22,32;2874,1;;;;63190;GAZEBO VERDI CM. 350X350 ;2358889;Juliette Gazebo w/ PVC poly fabric tiger powder coating;;;;0,352;1 pezzo /6 imballi;178x28x12 mesh and frame x 2ctn, 211x30x12 straight pole and top frame x 1 ctn, 26x26x34 connector x 1 ctn, 211x29x10 bend pole and bar x 1ctn, 50x 50x30 fabric x 1 ctn;694,74;563,85;;193;185;;32,43;83,37;2.874,07;596,28;;;YATAI;;;;;;;;GAZEBO
314;;;;;;;;36,1;;;;63230;COLLEGAMENTO PER GAZEBO VERDI;700880;Juliette gazebo connector;;;;;;;8,08;6,56;;;;;;0,97;36,07;6,56;;;DOLCEVITA;;;;;;;;GAZEBO
315;;;;;;;;80,2;;;;63240;GRONDAIA PER GAZEBO VERDI;700985;Juliette gazebo gutter Al w/poly fabric cream;;;;;;;17,96;14,58;;;;;;2,16;80,17;14,58;;;DOLCEVITA;;;;;;;;GAZEBO
316;;;;;;176,5;;195,5;;;;63110;SEDIA CON BRACCIOLI VERDI COLOR ANTRACITE CM. 55,5X50X86,5 H;5359959;Juliette armchair tiger powder coating;;;;0,056;1;91x51x12;43,68;35,45;;1.214;1176;;5,1;5,24;195,46;40,55;;;DOLCEVITA;;;;;;;;MOBILI PER SEDERSI
317;;;;;;1061,8;;1070,2;;;;63130;TAVOLO RETT. ALLUNGABILE VERDI COLOR ANTRACITE CM. 160/220X100X74 H;8358789;Juliette ext. table 220/160x100 tiger powder coating;;;;0,268;1;163x103x16;272,2;197,25;;254;242;;24,79;;1.070,23;222,04;;;DOLCEVITA;;;;;;;;ALTRI MOBILI
318;;;;;;165;;162,7;;;;63100;SEDIA VERDI COLOR ANTRACITE CM. 55,5X50X86,5 H;9359859;Juliette chair tiger powder coating;;;;0,056;1;91x51x12;39,55;28,66;;1.214;1176;;5,1;;162,73;33,76;;;DOLCEVITA;;;;;;;;MOBILI PER SEDERSI
319;;;;;;643,1;;656,9;;;;63150;LETTINO VERDI COLOR ANTRACITE CM. 200X74X52 H;7360159;Juliette Sunbed tiger powder coating;;;;0,139;1;123x18x63;171,31;124,14;;489;494;;12,15;;656,89;136,28;;;DOLCEVITA;;;;;;;;MOBILI PER SEDERSI
320;;;;;;157,9;;160,1;;;;63170;TAVOLINO QUADRO VERDI COLOR ANTRACITE CM. 56X56X34 H;8360359;Juliette Low table tiger powder coating;;;;0,033;1;58x58x10;41,92;30,38;;2.061;2112;;2,84;;160,11;33,22;;;DOLCEVITA;;;;;;;;ALTRI MOBILI
321;;;;;;;;231,2;;;;64130;POLTRONCINA LOTO TELAIO COLOR BIANCO TELA COLOR TORTORA;5228455;KUBIK ALUM armchair w/tex;alu+txt;with outdoor coating;;0,395;4;77*83.5*61.5;53,88;39,04;;689;672;;8,93;;231,23;47,97;;;DOLCEVITA;;;;;;;;MOBILI PER SEDERSI
322;;;;;;;;944;;;;64160;TAVOLO RETT. LOTO COLOR BIANCO CM 220X100 X74 H;8229150;kubik table 220*100;;with outdoor coating;;0,298;1;223*103*13;234,26;169,75;;228;230;;26,09;;943,95;195,84;;;DOLCEVITA;;;;;;;;ALTRI MOBILI
323;;;;;;;;513,8;;;;64150;TAVOLO QUADRO LOTO COLOR BIANCO CM 90X90X74 H ;8229950;kubik table 90*90;;with outdoor coating;;0,126;1;95*95*14;130,92;94,87;;540;512;;11,72;;513,76;106,59;;;DOLCEVITA;;;;;;;;ALTRI MOBILI
324;;;;;;;;716,1;;;;64155;TAVOLO RETT . LOTO COLOR BIANCO CM 160X90X74 H ;8229850;kubik table 160*90;;with outdoor coating;;0,219;1;165*95*14;177,05;128,3;;311;296;;20,27;;716,09;148,57;;;DOLCEVITA;;;;;;;;ALTRI MOBILI
325;;;;;;;;273;;;;64220;TAVOLINO RETT. LOTO COLOR BIANCO CM. 100X62X35,5 H;8229150;kubik tea table;;with outdoor coating;;0,06;1; 64*94*10;70,85;51,34;;1.133;1134;;5,29;;272,96;56,63;;;DOLCEVITA;;;;;;;;ALTRI MOBILI
326;;;;;;;;582,4;;;;64200;DIVANO LOTO TELAIO COLOR BIANCO TELA COLOR TORTORA;5229355;kubik low bench;alu+txt;with outdoor coating;;0,733;2;134*76*72;111,54;80,83;;186;150;;40;;582,38;120,83;;;DOLCEVITA;;;;;;;;MOBILI PER SEDERSI
327;;;;;;;;324,2;;;;64210;POLTRONA LOTO TELAIO COLOR BIANCO TELA COLOR TORTORA;5229255;kubik low sofa;alu+txt;with outdoor coating;;0,733;4;134*76*72;65,22;47,26;;371;300;;20;;324,2;67,26;;;DOLCEVITA;;;;;;;;MOBILI PER SEDERSI
328;;;;;;;;656,3;;;;64240;LETTINO LOTO TELAIO COLOR BIANCO TELA COLOR TORTORA;7228955;KUBIK sunbed w/tex;alu+txt;with outdoor coating;;0,431;1;202*67*22;149,91;108,63;;158;218;;27,52;;656,26;136,15;;;DOLCEVITA;;;;;;;;MOBILI PER SEDERSI
329;;;;;;;;168,4;;;;64230;TAVOLINO QUADRO LOTO COLOR BIANCO CM 48X48X28 H ;8229050;KUBIK low table;;with outdoor coating;;0,023;1;46*50*10;45,49;32,96;;2.957;3050;;1,97;;168,37;34,93;;;DOLCEVITA;;;;;;;;ALTRI MOBILI
330;;;;;;;;294,9;;;;63280;TAVOLO TONDO PUCCINI COLOR ANTRACITE DIAM.  CM 75X74 H;6490180 + 0784680;Table foot 4 paww/top D75;Anthracite (as last year supply);outdoor coating;;0,061;1;73x31x14 78x78x5;77,13;55,89;;1.115;1134;;5,29;;294,9;61,18;;;DOLCEVITA;;;;;;;;ALTRI MOBILI
331;;;;;;;;199,9;;;;63250;SEDIA CON BRACCIOLI PUCCINI COLOR ANTRACITE;5491380L;HEGOA armchair w/sheet;;outdoor coating;;0,347;4;56.5*58*106;45,48;32,96;;784;704;;8,52;;199,93;41,48;;;DOLCEVITA;;;;;;;;MOBILI PER SEDERSI
332;;;;;;;;156,4;;;;63260;SEDIA PUCCINI COLOR ANTRACITE;9491480;HEGOA chair w/sheet;;outdoor coating;;0,257;4;56.5*43*106;36,82;26,68;;1.058;1040;;5,77;;156,41;32,45;;;DOLCEVITA;;;;;;;;MOBILI PER SEDERSI
333;;;;101,5;;111,6;17,47;95;;;;10110;BASE A 3 RAZZE CASTORE DIAM.  CM. 50X73 H PIANO MAX: DIAM.  CM. 80;BCI0401;"Powder coating Cast-iron base
Size: DIAM. 50*H73cm, top cross: DIAM. 45cm
Column: DIAM. 76mm
N.w.: 10.70 kgs
";;;;;1;;21,05;15,71;;#DIV/0!;900;;4;0,63;95,01;19,71;10,7;;TOPHINE;;;;21,2;15,59;;;PARTI DI MOBILI
334;;;;114,8;;118,5;10,13;107,6;;;;10115;"BASE A 4 RAZZE CASTORE
DIAM.  CM. 62X73 H 
PIANO MAX: DIAM.  CM. 105/CM. 90X90
";BCI0402;"Powder coating Cast-iron base
Size: DIAM. 62*H73cm, top cross: DIAM. 45cm
Column: DIAM. 76mm
N.w.: 13.35 kgs
";;;;;1;;24,3;18,14;;#DIV/0!;860;;4,19;0,73;107,6;22,32;13,35;;TOPHINE;;;;24,6;18,09;;;PARTI DI MOBILI
335;;;;172,8;;178,4;8,91;163,8;;;;10120;"BASE A 2+2 RAZZE CASTORE
CM. 96X55X73 H PIANO MAX: CM. 150X90
";BCI0407-1;"Powder coating Cast-iron base
Size: 96*55*H73cm, top cross: DIAM. 45cm
Column: DIAM. 76mm
N.w.: 18.50 kgs
";;;;;1;;37,48;27,97;;#DIV/0!;600;;6;1,12;163,76;33,97;18,5;;TOPHINE;;;;37,6;27,66;;;PARTI DI MOBILI
336;;;;114,4;;118,2;4,97;112,6;;;;10130;BASE TONDA SPICA CM. DIAM. 40X73 H PIANO MAX: CM. DIAM. 80;BCI01703-40;Powder coating steel base Cast iron chassis size:DIAM. 40*H73cm, top cross: DIAM. 45cm Column: DIAM. 76mm N.w.: 14.50 kgs ;;;;;1 pezzo 2 cartoni;;26,48;19,76;;;1000;;3,6;0,79;112,61;23,36;14,5;;TOPHINE;;;;25,6;18,85;;;PARTI DI MOBILI
337;;;;130,8;;135,3;11,63;121,2;;;;10135;BASE QUADRA SPICA CM 40X40X73 H PIANO MAX: CM. 80X80 ;BCI01701-40;Powder coating steel base Cast iron chassis size: 40*40*H73cm, top cross: DIAM. 45cm Column: 80*80mm N.w.: 17.70 kgs;;;;;1 pezzo 2 cartoni;;28,32;21,14;;;900;;4;0,85;121,16;25,14;16,7;;TOPHINE;;;;29,5;21,68;;;PARTI DI MOBILI
338;;;;141,4;;146,3;658,03;19,3;;;;10140;BASE QUADRA ALTA SPICA CM 40X40X110 H PIANO MAX: CM. 60X60;BCI01701-40 - C-H;Powder coating steel base Cast iron chassis size: 40*40*H110cm, top cross: DIAM. 45cm Column: 80*80mm N.w.: 17.70 kgs;;;;;1 pezzo 2 cartoni;;;0;;;900;;4;0;19,28;4;18,2;;TOPHINE;;;;32,5;23,21;;;PARTI DI MOBILI
