id;% ??;PREZZO LISTINO 2008;PREZZO LISTINO 2009;LISTINO 2010;% ??;LISTINO 2011;% ??;LISTINO 2012;IMMAGINE;TIPO MATERIALE O TESSUTO;BARCODE;NS. ART.;DESCRIZIONE;CODICE FORNITORE;DESCRIZIONE IN INGLESE;COLOUR ;FABRIC - GLASS;DIMENSIONI ARTICOLO Cm.;VOLUME IMBALLO m³;PZ. IMB.;DIMENSIONI IMBALLO Cm.;COSTO FOB 2012 USD;COSTO FOB 2012 EUR; CALCOLO 30 CBM ; CALCOLO 68 CBM ;Q.tà per container;;Trasp.;DAZI USD;PREZZO LISTINO 2011 DA ARROT.;COSTO EUR TRASPORTO COMPRESO 2011;PESO ART. Kg.;PESO IMBALLO Kg.;FORNITORE;COSTO FOB 2008 USD;COSTO FOB 2009 USD;COSTO FOB 2009 EUR;COSTO FOB 2010 USD;COSTO FOB 2010 EUR;a;b;c
25;11,71;134,1;140,9;140,9;-10,48;157,4;;;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48410;POLTRONCINA ERICE COLOR NERO;WL-7310A-W;twist Wicker chair (painted silver + transparent polyesther painting);BLACK TWIST WICKER (FIVE WIRES);;55,5x66,5x81 ;0,641;6;97x58x114 ;;0;;637;600;;10;;;10;4,18;??;WEILING;23,6;29,6;20;26,8;19,14;;;MOBILI PER SEDERSI
26;11,71;134,1;140,9;140,9;-10,48;157,4;;;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48411;POLTRONCINA ERICE COLOR BROWN;WL-7310A-W;twist Wicker chair (painted silver + transparent polyesther painting);MIXED COFFEE TWIST WICKER (FIVE WIRES);;55,5x66,5x81 ;0,641;6;97x58x114 ;;0;;637;600;;10;;;10;4,18;??;WEILING;23,6;29,6;20;26,8;19,14;;;MOBILI PER SEDERSI
27;11,71;134,1;140,9;140,9;-10,48;157,4;;;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48412;POLTRONCINA ERICE COLOR CORDA;WL-7310A-W;twist Wicker chair (painted silver + transparent polyesther painting);BROWN TWIST WICKER (FIVE WIRES);;55,5x66,5x81 ;0,641;6;97x58x114 ;;0;;637;600;;10;;;10;4,18;??;WEILING;23,6;29,6;20;26,8;19,14;;;MOBILI PER SEDERSI
28;10,11;348,1;365,8;365,8;-9,19;402,8;;;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48430;POLTRONCINA BACOLI CON CUSCINO COLOR BROWN;7C026A-W;twist Wicker chair with pillow with zipper (painted silver + transparent polyesther painting);MIXED COFFEE TWIST WICKER (FIVE WIRES) ;WP473 WITH ZIPPER;60,5x55x79,5 ;0,677;2;75x71x127 ;;0;;201;192;;31,25;;;31,25;;??;WEILING;51,5;59,7;40,34;52;37,14;;;MOBILI PER SEDERSI
29;10,11;348,1;365,8;365,8;-9,19;402,8;;;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48431;POLTRONCINA BACOLI CON CUSCINO COLOR CORDA;7X026A-W;twist Wicker chair with pillow with zipper (painted silver + transparent polyesther painting);BROWN TWIST WICKER (FIVE WIRES) ;WP472 WITH ZIPPER;60,5x55x79,5 ;0,677;2;75x71x127 ;;0;;201;192;;31,25;;;31,25;;??;WEILING;51,5;59,7;40,34;52;37,14;;;MOBILI PER SEDERSI
30;2,06;132,3;141;141;-2,02;143,9;4,2;138,1;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;50200;SEDIA ALASSIO COLOR SPECIAL BROWN;GS-2003;Dining Chair Aluminium frame & full PE wicker cover;1044 (HIGH QUALITY);;50x60x86;1,32;22;100x55x240;34,4;24,93;500;1.133;1133;1.077;5,3;;138,12;30,22;;;OTION;;37,44;25,3;32,74;23,39;;;MOBILI PER SEDERSI
31;2,06;132,3;141;141;-2,02;143,9;4,2;138,1;;;;50201;SEDIA ALASSIO COLOR BIANCO;GS-2003;Dining Chair Aluminum frame & full PE wicker cover;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;;50x60x86 ;1,32;22;100x55x240;34,4;24,93;500;1.133;1133;1.077;5,3;;138,12;30,22;;;OTION;;37,44;25,3;32,74;23,39;;;MOBILI PER SEDERSI
32;-0,12;164,8;173,5;184,2;6,29;173,3;1,58;170,6;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;50220;SEDIA CON BRACCIOLI ALASSIO COLOR SPECIAL BROWN ;GS-2003B;Dining Chair Aluminium frame & full PE wicker cover;1044 (HIGH QUALITY);;60x60x86;1,47;20;100x60x245;39,4;28,55;408;925;925;879;6,49;;170,63;35,04;;;OTION;;43,78;29,58;38,29;27,35;;;MOBILI PER SEDERSI
33;;;;184,2;6,29;173,3;1,58;170,6;;;;50221;SEDIA CON BRACCIOLI ALASSIO COLOR BIANCO;GS-2003B; Dining Chair Aluminium frame & full PE wicker cover;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;;60x60x86;1,47;20;100x60x245;39,4;28,55;408;925;925;879;6,49;;170,63;35,04;;;OTION;;43,78;29,58;38,29;27,35;;;MOBILI PER SEDERSI
34;;;;302,9;;354,3;11,49;317,8;;;;50230;POLTRONCINA SCHIENALE ALTO ALASSIO CM.64X64X100 H ;GS-310FA;Armchair 64X64X100 with 5 cm cushion;1044 (HIGH QUALITY);Water proof cushion with zipper - fabric: ECRU A13815;64x64x100;0,677;2;77x80x110;49,8;36,09;89;201;201;191;29,85;;317,82;65,94;;;OTION;;;;51,93;37,09;;;MOBILI PER SEDERSI IMBOTTITI
