"codice";"dogana"
52610;"MOBILI PER SEDERSI IMBOTTITI"
52611;"MOBILI PER SEDERSI IMBOTTITI"
52620;"TAVOLO VETRO"
52621;"TAVOLO VETRO"
52630;"TAVOLO VETRO"
52631;"TAVOLO VETRO"
52640;"GAZEBO"
63190;"GAZEBO"
63230;"GAZEBO"
63240;"GAZEBO"
63110;"MOBILI PER SEDERSI"
63130;"ALTRI MOBILI"
63100;"MOBILI PER SEDERSI"
63150;"MOBILI PER SEDERSI"
63170;"ALTRI MOBILI"
64130;"MOBILI PER SEDERSI"
64160;"ALTRI MOBILI"
64150;"ALTRI MOBILI"
64155;"ALTRI MOBILI"
64220;"ALTRI MOBILI"
64200;"MOBILI PER SEDERSI"
64210;"MOBILI PER SEDERSI"
64240;"MOBILI PER SEDERSI"
64230;"ALTRI MOBILI"
63280;"ALTRI MOBILI"
63250;"MOBILI PER SEDERSI"
63260;"MOBILI PER SEDERSI"
10110;"PARTI DI MOBILI"
10115;"PARTI DI MOBILI"
10120;"PARTI DI MOBILI"
10130;"PARTI DI MOBILI"
10135;"PARTI DI MOBILI"
10140;"PARTI DI MOBILI"
10150;"PARTI DI MOBILI"
10160;"PARTI DI MOBILI"
10165;"PARTI DI MOBILI"
10170;"PARTI DI MOBILI"
10175;"PARTI DI MOBILI"
10185;"PARTI DI MOBILI"
10195;"PARTI DI MOBILI"
10205;"PARTI DI MOBILI"
10210;"PARTI DI MOBILI"
10215;"PARTI DI MOBILI"
10220;"PARTI DI MOBILI"
10225;"PARTI DI MOBILI"
10230;"PARTI DI MOBILI"
10400;"PARTI DI MOBILI"
10402;"PARTI DI MOBILI"
10410;"PARTI DI MOBILI"
10412;"PARTI DI MOBILI"
10418;"PARTI DI MOBILI"
10450;"PARTI DI MOBILI"
10470;"PARTI DI MOBILI"
10490;"PARTI DI MOBILI"
10540;"PARTI DI MOBILI"
10550;"PARTI DI MOBILI"
10560;"PARTI DI MOBILI"
10541;"PARTI DI MOBILI"
10551;"PARTI DI MOBILI"
10561;"PARTI DI MOBILI"
46490;"GAZEBO"
46500;"GAZEBO"
46501;"GAZEBO"
46504;"GAZEBO"
46505;"GAZEBO"
46515;"GAZEBO"
46520;"GAZEBO"
46700;"GAZEBO"
46705;"GAZEBO"
46720;"GAZEBO"
46725;"GAZEBO"
46540;"GAZEBO"
46544;"GAZEBO"
46480;"GAZEBO"
46494;"GAZEBO"
46100;"OMBRELLONE"
46101;"OMBRELLONE"
46102;"OMBRELLONE"
46105;"OMBRELLONE"
46106;"OMBRELLONE"
46107;"OMBRELLONE"
46110;"OMBRELLONE"
46111;"OMBRELLONE"
46112;"OMBRELLONE"
46200;"OMBRELLONE"
46201;"OMBRELLONE"
46221;"OMBRELLONE"
46306;
46050;"OMBRELLONE"
46051;"OMBRELLONE"
46056;"OMBRELLONE"
46057;"OMBRELLONE"
46061;"OMBRELLONE"
46062;"OMBRELLONE"
45100;"OMBRELLONE"
45110;"OMBRELLONE"
45111;"OMBRELLONE"
45130;"OMBRELLONE"
46095;"OMBRELLONE"
46096;"OMBRELLONE"
46097;"OMBRELLONE"
46180;"OMBRELLONE"
46116;"OMBRELLONE"
46118;"OMBRELLONE"
46120;"OMBRELLONE"
46121;"OMBRELLONE"
46124;"OMBRELLONE"
46125;"OMBRELLONE"
46126;"OMBRELLONE"
46127;"OMBRELLONE"
46128;"OMBRELLONE"
46129;"OMBRELLONE"
46140;"OMBRELLONE"
46144;"OMBRELLONE"
46146;"OMBRELLONE"
46148;"OMBRELLONE"
46165;"OMBRELLONE"
46170;"OMBRELLONE"
46240;"OMBRELLONE"
46244;"OMBRELLONE"
